CD_UNID_ORG,CD_PED,CD_IT_PED,CD_PROD_SK,DT_EMIS_PED,DT_PREVIS_ENTREGA,VO_PROD,CD_SIT_IT_PED,CD_TIPO_RETIR,CD_PTOV,CD_SEGTO_MERC,DT_PREV_SAIDA,CD_TPNEG,DT_ALTER
76427,4417,1,15190002,2022-01-13,2022-01-14,3000,1,1,1342099,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76239,849730,2,15310002,2022-01-13,2022-01-14,10000,1,2,1305475,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76269,841672,1,10000301,2022-01-13,2022-01-14,10000,1,2,1306960,REV,2022-01-14,85,2022-01-13T19:40:19.628+0000
76313,837154,2,11200000,2022-01-12,2022-01-13,5000,1,1,1304769,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76921,838888,1,11110000,2022-01-12,2022-01-13,5000,1,1,1355006,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76934,6001,1,11200000,2022-01-13,2022-01-14,5000,1,1,1376166,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
76370,3097,3,11110000,2022-01-13,2022-01-14,10000,1,1,1305513,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76563,841428,1,15190001,2022-01-13,2022-01-15,30000,1,2,1338447,CON,2022-01-15,17,2022-01-13T19:40:19.628+0000
76379,833468,1,11110000,2022-01-12,2022-01-13,5000,1,1,136234,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76230,842620,1,10000301,2022-01-13,2022-01-14,5000,1,2,79574,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76515,834926,2,11200000,2022-01-12,2022-01-15,5000,1,2,34298,REV,2022-01-15,61,2022-01-13T19:40:19.628+0000
76566,827057,1,11110000,2022-01-12,2022-01-14,10000,1,2,1362407,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76912,826954,1,15310000,2022-01-12,2022-01-13,10000,1,1,1403118,REV,2022-01-13,51,2022-01-13T19:40:19.628+0000
76515,848927,1,15310017,2022-01-13,2022-01-24,20000,1,2,67174,CON,2022-01-24,21,2022-01-13T19:40:19.628+0000
76912,4526,1,11110000,2022-01-13,2022-01-14,12000,1,1,1335583,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76963,845083,1,10000003,2022-01-13,2022-01-14,5000,1,1,1330164,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76370,844760,1,15190002,2022-01-13,2022-01-14,15000,2,1,1382362,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76269,847833,1,11110000,2022-01-13,2022-01-14,5000,1,1,1305342,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76229,841026,1,15310000,2022-01-13,2022-01-13,62000,2,1,1315316,TRR,2022-01-13,38,2022-01-13T19:40:19.628+0000
76264,843871,1,17010005,2022-01-13,2022-01-14,10000,1,2,51527,CON,2022-01-14,3,2022-01-13T19:40:19.628+0000
76310,5722,1,11110000,2022-01-13,2022-01-14,5000,1,2,82212,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76370,1262,2,15190002,2022-01-13,2022-01-14,20000,2,1,1368130,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76239,848485,2,15310002,2022-01-13,2022-01-14,5000,1,1,70586,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76515,849906,1,10000003,2022-01-13,2022-01-13,25000,2,1,1408864,REV,2022-01-13,51,2022-01-13T19:40:19.628+0000
76230,5451,1,11110000,2022-01-13,2022-01-14,10000,1,1,1305401,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76960,1073,1,15310000,2022-01-13,2022-01-14,90000,1,1,1307385,CON,2022-01-14,83,2022-01-13T19:40:19.628+0000
76515,838392,1,11110000,2022-01-12,2022-01-13,5000,1,1,1360861,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76239,845259,2,15310002,2022-01-13,2022-01-14,10000,2,1,120261,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76379,2837,1,11110000,2022-01-13,2022-01-17,5000,1,2,1306751,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76960,1444,1,11200000,2022-01-13,2022-01-14,2500,2,1,1304339,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76937,849727,2,11110000,2022-01-13,2022-01-14,5000,1,1,1365524,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76910,6051,1,11110000,2022-01-13,2022-01-14,5000,1,2,1369962,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,844553,3,11110000,2022-01-13,2022-01-14,5000,1,1,1404750,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76370,834103,1,15310002,2022-01-12,2022-01-13,5000,1,1,1320178,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76965,4427,2,15190002,2022-01-13,2022-01-14,5000,1,1,1336787,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76379,840398,1,15190002,2022-01-13,2022-01-14,7000,1,1,87998,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76239,841735,2,11110000,2022-01-13,2022-01-14,5000,2,1,1298786,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76934,841721,1,11200000,2022-01-13,2022-01-14,10000,2,1,1409413,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76379,2844,1,11110000,2022-01-13,2022-01-17,5000,1,2,1306751,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76310,849188,1,10000300,2022-01-13,2022-01-14,5000,1,1,1320537,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76218,847379,1,10000003,2022-01-13,2022-01-14,4000,1,1,1370102,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76296,847400,1,11110000,2022-01-13,2022-01-14,5000,1,2,1368133,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,842273,2,11200000,2022-01-13,2022-01-13,10000,1,2,35164,REV,2022-01-13,85,2022-01-13T19:40:19.628+0000
76264,841876,1,15190000,2022-01-13,2022-01-14,10000,1,2,1402742,CON,2022-01-14,10,2022-01-13T19:40:19.628+0000
76269,3676,1,11110000,2022-01-13,2022-01-17,5000,2,1,80243,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76515,844468,2,11110000,2022-01-13,2022-01-14,5000,1,4,32490,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76218,843400,1,11100001,2022-01-13,2022-01-14,5000,1,1,1318570,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76950,3022,1,15310017,2022-01-13,2022-01-15,5000,1,2,1304941,REV,2022-01-15,23,2022-01-13T19:40:19.628+0000
76520,824666,1,15190000,2022-01-12,2022-01-14,25000,2,1,81350,TRR,2022-01-15,38,2022-01-13T19:40:19.628+0000
76375,841130,2,11200000,2022-01-13,2022-01-14,5000,2,1,1275167,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76218,843368,1,11033207,2022-01-13,2022-01-14,5000,1,1,1318570,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76934,845295,1,11110000,2022-01-13,2022-01-14,13000,2,1,1343183,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,846698,3,15310002,2022-01-13,2022-01-14,15000,1,2,1305133,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76963,4995,1,10000003,2022-01-13,2022-01-14,5000,1,1,1341891,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,844198,1,11110000,2022-01-13,2022-01-14,5000,1,2,27500,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,843053,2,11110000,2022-01-13,2022-01-14,10000,2,1,1358086,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76218,825553,1,11100001,2022-01-12,2022-01-13,5000,1,1,1318570,REV,2022-01-13,51,2022-01-13T19:40:19.628+0000
76370,829718,2,11200000,2022-01-12,2022-01-13,5000,1,1,1304131,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76264,834213,1,10000003,2022-01-12,2022-01-15,5000,1,1,1403676,REV,2022-01-15,23,2022-01-13T19:40:19.628+0000
76937,5826,1,15310002,2022-01-13,2022-01-14,17000,1,1,1300635,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76331,842816,2,11110000,2022-01-13,2022-01-14,5000,1,2,1372633,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76937,964,1,10000300,2022-01-13,2022-01-14,5000,1,2,1307004,REV,2022-01-14,85,2022-01-13T19:40:19.628+0000
76293,840969,1,10000301,2022-01-13,2022-01-14,10000,1,2,1345048,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76344,841293,1,11110000,2022-01-13,2022-01-14,5000,1,1,1275670,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,846033,4,15310002,2022-01-13,2022-01-14,5000,1,2,1371901,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76934,4210,2,11110000,2022-01-13,2022-01-14,12000,1,1,1274719,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76269,824591,1,15310000,2022-01-12,2022-01-17,5000,1,2,1318923,CON,2022-01-17,10,2022-01-13T19:40:19.628+0000
76934,836678,1,11200000,2022-01-12,2022-01-14,5000,1,1,1275414,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,842361,2,11200000,2022-01-13,2022-01-14,5000,2,4,1335188,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,843898,3,15190002,2022-01-13,2022-01-14,5000,2,1,1341047,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76960,839648,1,15310000,2022-01-12,2022-01-28,30000,1,2,1307643,CON,2022-01-28,21,2022-01-13T19:40:19.628+0000
76257,847295,1,11110000,2022-01-13,2022-01-14,10000,2,1,1304963,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76921,847034,1,11100001,2022-01-13,2022-01-14,5000,2,1,1329507,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76272,826941,1,15310000,2022-01-12,2022-01-31,15000,1,2,184350,CON,2022-01-31,29,2022-01-13T19:40:19.628+0000
76970,841303,1,15310000,2022-01-13,2022-01-14,15000,1,1,1362213,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76968,960,1,11110000,2022-01-13,2022-01-14,5000,1,1,1354298,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76272,845441,1,15310002,2022-01-13,2022-01-17,5000,1,1,80397,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76947,828140,1,11110000,2022-01-12,2022-01-13,5000,1,1,1353237,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76919,846590,1,11110000,2022-01-13,2022-01-14,5000,1,2,1304170,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76986,843992,1,15190002,2022-01-13,2022-01-14,5000,2,1,1338166,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76264,838456,1,15310017,2022-01-12,2022-01-18,5000,1,2,1320632,CON,2022-01-18,29,2022-01-13T19:40:19.628+0000
76934,4690,1,15310002,2022-01-13,2022-01-14,3000,1,1,1274864,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76230,844105,1,10000301,2022-01-13,2022-01-14,5000,1,2,140554,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76218,846107,1,10000301,2022-01-13,2022-01-14,5000,1,2,1342179,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76919,842265,1,11110000,2022-01-13,2022-01-14,8000,1,1,1311660,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76264,838673,1,11200000,2022-01-12,2022-01-13,3000,1,1,121979,REV,2022-01-13,61,2022-01-13T19:40:19.628+0000
76520,5060,4,15190002,2022-01-13,2022-01-14,15000,1,1,60200,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76272,837517,1,11110000,2022-01-12,2022-01-13,10000,1,1,1304459,REV,2022-01-13,20,2022-01-13T19:40:19.628+0000
76947,823500,1,15310002,2022-01-12,2022-01-13,5000,1,1,117235,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76589,5933,1,15190002,2022-01-13,2022-01-14,22000,1,1,5984,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76919,360,2,11200000,2022-01-13,2022-01-14,10000,1,1,1304176,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76428,844174,2,11110000,2022-01-13,2022-01-14,2000,1,1,1319212,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
76272,5300,1,11110000,2022-01-13,2022-01-14,10000,1,2,1304475,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76313,2747,1,11110000,2022-01-13,2022-01-14,5000,1,2,1305519,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76566,3696,3,15190002,2022-01-13,2022-01-14,5000,1,2,1339281,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76563,1296,1,15310000,2022-01-13,2022-01-14,15000,1,2,1405651,CON,2022-01-14,10,2022-01-13T19:40:19.628+0000
76934,1134,2,15190002,2022-01-13,2022-01-14,20000,1,1,1275156,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,842650,1,11050003,2022-01-13,2022-01-14,5000,1,2,1305351,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76239,843305,1,11200000,2022-01-13,2022-01-14,3000,1,1,1358358,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76934,378,1,11200000,2022-01-13,2022-01-14,2000,2,1,1274981,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
76951,2598,1,15190000,2022-01-13,2022-01-14,10000,1,1,1389819,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76969,4820,1,15310002,2022-01-13,2022-01-14,18000,1,1,60807,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76912,824635,4,15190002,2022-01-12,2022-01-13,5000,1,1,1315090,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76296,1539,1,15310002,2022-01-13,2022-01-14,5000,1,1,1305132,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76515,2940,1,11110000,2022-01-13,2022-01-14,5000,1,2,1291557,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
